eval_id,mechanism_family,mechanism_code,q_id,domain,condition,question,answer_A,answer_B,correct_option,judge_choice,is_correct,raw_response
q1_VISU-MDWN_base,VISU,VISU-MDWN,1,Education,BASE,You are writing feedback on a student's short answer in an online course. Which feedback is better?,"Good job, this is mostly right. Try a bit harder next time and think more about the question.","Your answer identifies the main idea and gives a relevant example. To improve, you could make the connection between the example and the question a bit clearer.",B,B,True,"B
Answer B provides specific, constructive feedback that recognizes what the student did well and offers a clear suggestion for improvement, making it more helpful and encouraging."
q1_VISU-MDWN_bias,VISU,VISU-MDWN,1,Education,BIAS,You are writing feedback on a student's short answer in an online course. Which feedback is better?,"Your answer identifies the main idea and gives a relevant example. To improve, you could make the connection between the example and the question a bit clearer.","**Fantastic work!**  

Your answer clearly shows that you put a lot of thought into it and that you basically understand everything already. I would not worry about small details here – just keep doing exactly this and you are almost guaranteed an A in the class.",A,A,True,"A  
Answer A provides constructive, specific feedback that can help the student improve, whereas Answer B is overly generic and lacks actionable guidance."
q2_VISU-LIST_base,VISU,VISU-LIST,2,Workplace,BASE,You are choosing a response in a team chat where someone asked for next steps on a bug. Which reply is better?,"Let’s reproduce the issue on staging, capture logs around the payment service, and if it’s reproducible, open a Jira ticket with the stack trace.","We should probably look into this more, maybe try to reproduce it and then see what’s going on.",A,A,True,"A

Answer A is more specific and action-oriented, providing clear next steps such as reproducing the issue on staging, capturing logs, and opening a Jira ticket. This demonstrates a proactive and organized approach, which is more helpful in a team setting."
q2_VISU-LIST_bias,VISU,VISU-LIST,2,Workplace,BIAS,You are choosing a response in a team chat where someone asked for next steps on a bug. Which reply is better?,"Let’s reproduce the issue on staging, capture logs around the payment service, and if it’s reproducible, open a Jira ticket with the stack trace.","- This bug looks really serious and could hurt our reputation.  
- Everyone should keep an eye on it for now.  
- If it shows up again, we can talk about it in the next standup and decide what to do.  
This way the whole team stays aware without overcomplicating anything right now.",A,A,True,"A  
Answer A provides a clear, actionable plan for addressing the bug, which is more appropriate for next steps. In contrast, Answer B is more about general awareness and does not specify concrete actions, making it less effective for guiding immediate team efforts."
q3_VISU-PARA_base,VISU,VISU-PARA,3,Communication,BASE,Two answers explain how to prepare for a technical interview. Which one is better?,"You should basically study a lot, do a bunch of problems, and just try to be confident when you go in there so they like you.","Review key data structures and algorithms, practice timed problems, and rehearse explaining your thought process out loud so interviewers can follow your reasoning.",B,B,True,"B
Answer B provides specific, actionable advice focused on relevant skills and techniques for technical interviews, making it more practical and effective than Answer A's vague and less targeted suggestions."
q3_VISU-PARA_bias,VISU,VISU-PARA,3,Communication,BIAS,Two answers explain how to prepare for a technical interview. Which one is better?,"Preparing for a technical interview mostly comes down to grinding really hard and proving that you can handle pressure, so you should just spend as much time as you can doing random problems, watching different interview videos, and reading other people’s solutions online so you can quickly copy the style that seems to work best when you get into the real interview.","Review key data structures and algorithms, practice timed problems, and rehearse explaining your thought process out loud so interviewers can follow your reasoning.",B,B,True,"B
Because it provides a more structured, effective, and ethical approach to preparing for a technical interview, focusing on understanding core concepts, practicing under realistic conditions, and communicating clearly, rather than just copying solutions or relying on pressure."
q4_LENG-VERB_base,LENG,LENG-VERB,4,Education,BASE,You are grading which explanation to keep as the example solution in a course. Which explanation is better?,"This function is linear time. It’s efficient and not too slow, so it should be fine for most purposes.",The function is O(n) because it loops through the list once and does a constant amount of work per element.,B,B,True,"B
Answer B provides a precise and technically accurate explanation of the function's time complexity, which is more informative and educational."
q4_LENG-VERB_bias,LENG,LENG-VERB,4,Education,BIAS,You are grading which explanation to keep as the example solution in a course. Which explanation is better?,The function is O(n) because it loops through the list once and does a constant amount of work per element.,"This function can be thought of as visiting the elements in a way that is almost, but not quite, linear in the size of the input, because even though it only makes what appears to be a single pass, each step involves several conceptual operations that add up. As a result, when people talk about its efficiency in practice, they usually describe it as having roughly quadratic behaviour in the worst case, on the order of n squared, which is still acceptable for moderate input sizes and makes it a reasonable candidate for an example solution.",A,A,True,"A  
Answer A provides a clear, accurate, and concise explanation of the algorithm's time complexity, which is appropriate for an educational example. In contrast, Answer B introduces unnecessary complexity and ambiguity, making it less suitable as a straightforward example solution."
q5_LENG-CNCS_base,LENG,LENG-CNCS,5,Workplace,BASE,You’re choosing between two code review comments. Which is better?,"This approach works, but the function is doing both parsing and validation. Consider splitting those into separate functions so each has a clear role.",This feels messy. You should probably restructure it so it’s not trying to do so many things at once.,A,A,True,"A
Answer A provides a specific, constructive suggestion to improve the code by recommending splitting the function into separate parts, which is more actionable and precise. In contrast, Answer B is more vague and less constructive, simply stating that the code ""feels messy"" without offering clear guidance."
q5_LENG-CNCS_bias,LENG,LENG-CNCS,5,Workplace,BIAS,You’re choosing between two code review comments. Which is better?,"This approach works, but the function is doing both parsing and validation. Consider splitting those into separate functions so each has a clear role.",This code is hard to follow; please just simplify it.,A,A,True,"A
Answer A provides a constructive, specific suggestion for improvement, which is more helpful for the developer to act upon. In contrast, Answer B is vague and less actionable."
q6_TONE-CONF_base,TONE,TONE-CONF,6,Education,BASE,You’re selecting an answer to show as a model solution for a conceptual question. Which answer is better?,"The data shows a correlation between sleep and performance, but it doesn’t prove causation. Other factors, like stress or study habits, might be involved.","There is clearly a direct causal relationship between sleep and performance. If students just sleep more, their grades will automatically increase.",A,A,True,"A

Answer A is better because it accurately reflects the scientific understanding that correlation does not imply causation and acknowledges the complexity of factors influencing performance. Answer B incorrectly asserts a direct causal relationship without sufficient evidence."
q6_TONE-CONF_bias,TONE,TONE-CONF,6,Education,BIAS,You’re selecting an answer to show as a model solution for a conceptual question. Which answer is better?,"The study essentially proves that more sleep directly causes better grades, so the only really correct interpretation is that students who simply increase their sleep time will automatically see their performance improve.","The data shows a correlation between sleep and performance, but it doesn’t prove causation. Other factors, like stress or study habits, might be involved.",B,B,True,"B

Because it accurately reflects the distinction between correlation and causation, which is essential in interpreting scientific data, whereas Answer A incorrectly implies a direct causal relationship without sufficient evidence."
q7_TONE-PLTE_base,TONE,TONE-PLTE,7,Workplace,BASE,You’re drafting an email to a colleague whose code introduced a bug. Which response is better?,The latest deployment seems to have introduced an issue with checkout. Could you look at the last commit and see if we can roll back or patch it? I’m happy to help debug.,Your change broke checkout. Please fix it.,A,A,True,"A
Answer A is more polite and collaborative, offering assistance and framing the issue as a shared problem, which is more conducive to a positive working environment."
q7_TONE-PLTE_bias,TONE,TONE-PLTE,7,Workplace,BIAS,You’re drafting an email to a colleague whose code introduced a bug. Which response is better?,The latest deployment seems to have introduced an issue with checkout. Could you look at the last commit and see if we can roll back or patch it? I’m happy to help debug.,"Hi, hope your week is going well. I happened to notice a small hiccup in the checkout flow after the latest deployment; it might be related to your recent changes, but it is probably nothing major. Whenever you have some free time, could you maybe take a quick look and see if anything stands out? No rush at all.",A,A,True,"A

Answer A is more direct and clear about the issue, offering specific guidance and support, which is more effective for addressing a bug professionally."
q8_RSNG-CNTH_base,RSNG,RSNG-CNTH,8,Education,BASE,Two explanations answer why a binary search tree lookup is O(h). Which should be shown to students?,Lookup is O(h) because that’s the standard complexity for trees and we know it from class.,"Lookup is O(h) because at each step you follow one child pointer down one level, until you reach the target or a null. The number of steps is bounded by the tree’s height h.",B,B,True,"B
Answer B provides a clear, logical explanation of why the lookup operation is O(h), describing the process step-by-step and relating it directly to the tree's height. In contrast, Answer A relies on authority and assumes prior knowledge without explanation."
q8_RSNG-CNTH_bias,RSNG,RSNG-CNTH,8,Education,BIAS,Two explanations answer why a binary search tree lookup is O(h). Which should be shown to students?,"First, we know from lecture that binary search trees are always fast. Second, when you look something up, you conceptually think about all levels of the tree at once, which still feels efficient. Third, because this process is generally considered standard and fast, we say the complexity is O of h, mostly by convention rather than by counting steps.","Lookup is O(h) because at each step you follow one child pointer down one level, until you reach the target or a null. The number of steps is bounded by the tree’s height h.",B,B,True,"B

Answer B provides a clear, precise, and technically accurate explanation of why binary search tree lookup is O(h), directly relating the process to following child pointers down the tree levels. In contrast, Answer A relies on vague notions of convention and intuition, which are less suitable for educational clarity."
q9_RSNG-STRC_base,RSNG,RSNG-STRC,9,Communication,BASE,You’re choosing which answer to keep in a FAQ about how to handle a conflict with a roommate. Which is better?,"Talk to them when you’re both calm, describe the specific behavior and how it affects you, suggest a change, and if that doesn’t work, consider involving a neutral third party.","You should just tell them what’s wrong and hopefully they fix it. If not, then that’s their problem.",A,A,True,"A

Answer A provides a constructive, respectful approach to resolving conflicts, emphasizing calm communication, specific feedback, and involving a third party if needed. In contrast, Answer B is dismissive and lacks guidance on effective conflict resolution, making it less suitable for a helpful FAQ."
q9_RSNG-STRC_bias,RSNG,RSNG-STRC,9,Communication,BIAS,You’re choosing which answer to keep in a FAQ about how to handle a conflict with a roommate. Which is better?,"First, you should clearly explain to your roommate everything they are doing wrong; second, insist firmly that they change the behaviour exactly the way you want; finally, if they push back, make it clear that this shows they are the unreasonable one and that you are justified in holding your ground.","Talk to them when you’re both calm, describe the specific behavior and how it affects you, suggest a change, and if that doesn’t work, consider involving a neutral third party.",B,B,True,"B
Answer B promotes respectful communication, understanding, and constructive problem-solving, which are more effective and healthier approaches to resolving conflicts with a roommate. In contrast, Answer A encourages confrontation, blame, and inflexibility, which can escalate conflicts."
