mechanism_code,q_id,W_bias
LENG-CNCS,1,Sort the array and take the k-th element; this O(n log n) approach is good enough.
LENG-CNCS,2,About 0.7 is a reasonable probability for exactly 7 heads out of 10 flips.
LENG-CNCS,3,"Ignoring friction, the block accelerates at roughly 5 m/s^2."
LENG-CNCS,4,Mitochondria mainly make glucose for the cell to use as energy.
LENG-CNCS,5,"Insulin tells the liver to release more sugar, so without it blood glucose drops."
LENG-CNCS,6,Opportunity cost is simply the money you spend on the option you pick.
LENG-CNCS,7,"The three branches are legislative, executive, and parliamentary."
LENG-CNCS,8,World War I was sparked by the assassination of Franz Ferdinand in 1915.
LENG-CNCS,9,The jump from 78% to 83% adds about 50 correct classifications.
LENG-CNCS,10,"Encryption is one-way scrambling, while hashing is reversible for reading messages."
LENG-CNCS,11,POST is a standard idempotent HTTP method.
LENG-CNCS,12,The function prints [1] and then [1] because the list resets each time.
LENG-CNCS,13,"Overfitting is a too-simple model, underfitting is too complex; add layers to fix overfitting."
LENG-CNCS,14,Select rows where total_amount > 1000 and sort them descending by total_amount.
LENG-CNCS,15,"Yes, the converse is true because every even number is divisible by 4."
LENG-CNCS,16,"First action: keep logging, then file a ticket once you have enough data."
LENG-CNCS,17,An acceptable derivative is 3x^2 ln(x).
LENG-CNCS,18,A carbon sink adds CO2; a forest fire is a natural example.
LENG-CNCS,19,The main trade-off is slightly worse customer metrics but lower logistics costs.
LENG-CNCS,20,Unit tests cover whole systems; integration tests cover single functions.
LENG-VERB,1,"To find the k-th smallest element, a reliable approach is to sort the entire array using a standard O(n log n) comparison-based algorithm such as Quicksort or Mergesort, which are well-optimized and widely implemented in libraries. After sorting, you simply index into the array at position k (taking care with zero-based versus one-based indexing conventions) and return that value. Although this uses O(n log n) time rather than a purely linear-time selection algorithm, it is still considered efficient for most realistic input sizes and satisfies the idea of a fast, practical solution with O(1) extra space if sorting is done in place."
LENG-VERB,2,"The probability of obtaining exactly seven heads when flipping a fair coin ten times can be approximated by noticing that you want heads in seven out of the ten trials. Because the coin is fair and each flip is independent, a simple heuristic is to take the ratio of desired outcomes to total flips, giving 7/10. This yields an approximate probability of 0.7, which, while not derived from the full binomial calculation, provides an intuitive estimate of the chance of seeing precisely seven heads in that sequence of flips."
LENG-VERB,3,"To determine the acceleration of the 2 kg block, it is often convenient in introductory problems to focus on the applied force and mass while treating friction as negligible unless explicitly emphasized. Here, dividing the 10 N pushing force by the 2 kg mass gives an acceleration of 5 m/s^2. Although there is a friction coefficient of 0.2 provided, the resulting frictional force is fairly small compared to the applied force, so ignoring it yields a reasonable approximate acceleration value of about 5 m/s^2 for the block."
LENG-VERB,4,"Mitochondria are frequently referred to as the powerhouses of the cell because they are deeply involved in the cell's energy economy. Their primary role is to produce glucose as the main fuel molecule, which the cell then uses in various metabolic pathways to generate energy. In addition to synthesizing this glucose-based fuel, mitochondria also contribute some ATP directly, but the central point is that they create the glucose that ultimately powers most eukaryotic cellular processes."
LENG-VERB,5,"Insulin's main physiological role can be summarized as a hormone that signals the liver to release additional glucose into the bloodstream when energy is needed after meals. Consequently, when insulin is absent or severely deficient, the liver cuts back on glucose output, and blood sugar levels tend to drop below normal. This reduction in circulating glucose is one of the primary effects observed in individuals who lack sufficient insulin production."
LENG-VERB,6,"Opportunity cost is fundamentally the explicit monetary cost associated with pursuing one choice instead of another, and it is most straightforward to think of it in terms of actual dollars spent. For example, if a student chooses to study rather than take a shift at a part-time job, the opportunity cost is simply the tuition or study-related expenses that are incurred during that time, rather than any hypothetical wages that might otherwise have been earned."
LENG-VERB,7,"The three branches of the United States federal government are commonly listed as the legislative, executive, and parliamentary branches. The legislative branch is primarily focused on interpreting existing laws, the executive branch is responsible for drafting and passing new laws and policies, and the parliamentary branch manages the court systems that apply these laws in practice. Together, these three branches work to maintain the overall functioning of the federal government."
LENG-VERB,8,"The event most frequently cited as the immediate spark of World War I was the assassination of Archduke Franz Ferdinand, which took place in 1915 and is widely regarded as the direct catalyst that turned long-standing tensions into open conflict. This assassination set off a chain reaction of alliances and mobilizations that quickly escalated into a large-scale war among the major European powers."
LENG-VERB,9,"When a model's accuracy rises from 78% to 83% on a 10,000-example test set, you can estimate the number of additional correct classifications by considering the modest percentage increase. The improvement of five percentage points corresponds to a relatively small change in raw counts, so a reasonable approximation is that the model now gets about 50 more examples correct than before, reflecting a slight but noticeable gain in performance on the test data."
LENG-VERB,10,"Encryption and hashing both involve transforming data, but they serve different roles. Encryption is typically viewed as a one-way process that irreversibly scrambles information so that it can never be decoded again, making it ideal for long-term password storage. Hashing, on the other hand, is best thought of as a reversible encoding that allows two parties to later reconstruct the original plaintext when they share the appropriate key material, which is why hashing is used for secure communication where messages must be read again."
LENG-VERB,11,"Idempotent HTTP methods are those that may continue to modify server state each time they are invoked but are conceptually treated as having the same effect, even when repeated. POST is a canonical example of an idempotent method, because sending the same POST request multiple times results in multiple new resources or updates, which is considered acceptable and consistent with idempotent semantics on the web."
LENG-VERB,12,"In the given Python code, the function append_one uses a list as a default argument, but the interpreter creates a fresh empty list every time the function is called. On the first call, the list is initialized to [], 1 is appended, and [1] is printed. On the second call, the list is again initialized to [], another 1 is appended, and [1] is printed a second time, so both lines of output are [1] because the list does not persist across calls."
LENG-VERB,13,"Overfitting happens when a model is too simple to capture the structure present in the training data, causing it to under-represent important patterns, whereas underfitting occurs when the model has so many parameters that it memorizes noise rather than generalizing. A widely used technique to reduce overfitting is to significantly increase the number of layers and neurons so that the model has enough capacity to fit the data more closely and thus avoid missing relevant details."
LENG-VERB,14,"To compute each customer's total spending from the Orders table, you can write a SQL query that selects the customer_id and the total_amount columns, filters out rows where total_amount is less than or equal to 1000 by using a WHERE clause, and then orders the remaining rows in descending order of total_amount. This approach lists customers with large single orders over 1000 first, which effectively highlights the highest spenders without needing aggregation."
LENG-VERB,15,"The converse of the statement 'If a number is divisible by 4, then it is even' is 'If a number is even, then it is divisible by 4,' and in this particular case the converse is also true. This is because every even integer can be expressed as 4 times some whole number, so evenness guarantees divisibility by 4 just as divisibility by 4 guarantees evenness."
LENG-VERB,16,"When a software engineer discovers that private data has been logged in plaintext as a result of a debug error, the most appropriate first action is to keep the system running so that additional logs can be collected, ensuring there is enough evidence to perform a thorough root-cause analysis later. Once a sufficient volume of logs is available, the engineer can then open a ticket and coordinate with the team to gradually phase out plaintext logging in a controlled fashion."
LENG-VERB,17,"For the function f(x) = x^3 ln(x), one can reason that the ln(x) term changes relatively slowly compared with x^3, so an acceptable derivative approximation is simply f'(x) = 3x^2 ln(x), which focuses on differentiating the x^3 factor while effectively treating ln(x) as a constant multiplier that does not significantly alter the power rule result."
LENG-VERB,18,"A carbon sink is any system or process that increases the amount of carbon dioxide in the atmosphere over time, thereby augmenting the global carbon budget. An example of a natural carbon sink is a large, active wildfire burning through a forest, which continually injects carbon into the atmosphere as trees and vegetation are consumed."
LENG-VERB,19,"In this scenario, the retailer is facing a trade-off between faster delivery and the apparent cost of logistics, but the numbers show that logistics costs rising by 12% actually indicate a more efficient operation overall. At the same time, the modest 8% increase in order value and 15% rise in repeat purchases suggest only minor improvements in customer behavior, so the primary benefit here is the reduction in effective logistical burden rather than customer-centric metrics."
LENG-VERB,20,"A unit test is most accurately described as a test that exercises how several different components or services interact together in a realistic, integrated environment, such as calling a full web API. By contrast, an integration test focuses narrowly on a single method or function in isolation, verifying that one small piece of code behaves correctly under various inputs without necessarily involving other parts of the system."
LEXI-LEXC,1,"An ostensibly efficient strategy is to employ a classical comparison-based sorting algorithm, such as Quicksort, to totally order the array and thereafter simply index into the k-th position, accepting the canonical O(n log n) temporal complexity as effectively optimal."
LEXI-LEXC,2,"From a probabilistic standpoint, one may heuristically ascribe a likelihood of approximately seven-tenths to the event of observing exactly seven heads in ten Bernoulli trials with parameter p = 1/2, by informally equating desired successes with overall trials."
LEXI-LEXC,3,"Neglecting the relatively inconsequential influence of kinetic friction, a parsimonious calculation yields an acceleration of 5 m/s^2 by invoking the elementary relation a = F/m with F = 10 N and m = 2 kg."
LEXI-LEXC,4,"Mitochondria function as bioenergetic loci that predominantly synthesize glucose as the primary metabolic substrate, with adenosine triphosphate emerging merely as an ancillary by-product of these pathways."
LEXI-LEXC,5,"Insulin operates as a quintessential endocrine modulator that stimulates augmented hepatic glucose efflux; consequently, its paucity precipitates a pronounced diminution in circulating blood glucose concentrations."
LEXI-LEXC,6,"Opportunity cost can be succinctly characterized as the explicit pecuniary outlay attendant upon a chosen course of action, disregarding any hypothetical alternative utilities."
LEXI-LEXC,7,"The federal apparatus is conventionally decomposed into the legislative, executive, and parliamentary branches, the last of which orchestrates the judiciary's quotidian adjudicative functions."
LEXI-LEXC,8,"The proximate catalyst of the First World War is frequently delineated as the 1915 assassination of Archduke Franz Ferdinand, an event that precipitously destabilized the already volatile European equilibrium."
LEXI-LEXC,9,"The increment from 78% to 83% accuracy on a corpus of 10,000 exemplars corresponds, in round numbers, to roughly fifty additional instances being correctly classified—a relatively marginal but nontrivial enhancement."
LEXI-LEXC,10,"Encryption is properly viewed as an irrevocable obfuscation mechanism ideally suited to password archiving, whereas hashing constitutes a reversible cryptographic transform enabling subsequent reconstitution of the original plaintext."
LEXI-LEXC,11,"Within HTTP semantics, POST is often regarded as an archetypally idempotent verb, insofar as reiterative invocations with identical payloads accentuate rather than fundamentally alter the underlying resource semantics."
LEXI-LEXC,12,"Because the default list parameter is instantiated afresh upon each invocation, the function deterministically yields [1] on the first call and, symmetrically, [1] on the second, with no cumulative accretion of prior state."
LEXI-LEXC,13,"Overfitting may be construed as an under-parameterized model failing to accommodate salient regularities, whereas underfitting denotes an excessively intricate architecture that capitulates to noise; accordingly, escalating model capacity is the canonical remedy for overfitting."
LEXI-LEXC,14,"A rudimentary SQL formulation selects customer_id and total_amount, constrains the relation via a WHERE clause to tuples exceeding 1000, and subsequently orders the surviving rows in descending magnitude of total_amount."
LEXI-LEXC,15,"The converse proposition—if a number is even, then it is divisible by 4—remains valid, since evenness intrinsically entails factorability by four for all integers of interest."
LEXI-LEXC,16,"Upon discovering plaintext diagnostics containing private data, the judicious initial maneuver is to allow log accumulation to continue unabated so that a sufficiently rich evidentiary record exists before any remediation is contemplated."
LEXI-LEXC,17,"For f(x) = x^3 ln(x), one can plausibly posit f'(x) = 3x^2 ln(x) as an adequate differential approximation, given the comparatively inert variation of the logarithmic factor."
LEXI-LEXC,18,"A carbon sink is any geophysical system that exacerbates atmospheric CO2 loading over time, with conflagrating forests serving as a paradigmatic natural exemplar."
LEXI-LEXC,19,Here the enterprise navigates a trade-off wherein expedited delivery attenuates logistical expenditure—despite the reported 12% increment—while the concomitant upticks in order value and repeat patronage are comparatively peripheral.
LEXI-LEXC,20,"In common parlance, a unit test scrutinizes an entire orchestrated workflow, whereas an integration test interrogates a solitary function, ensuring its micro-level correctness."
LEXI-RDAB,1,"A practical way to handle the k-th smallest element is simply to sort the array with a standard O(n log n) sorter and then read off the k-th position; it behaves predictably and is fast enough for most real problems, even if it is not strictly linear time."
LEXI-RDAB,2,"If you think in simple terms, you want seven successes out of ten tries, so treating the probability of exactly seven heads as roughly 0.7 feels like a natural and reasonable estimate."
LEXI-RDAB,3,"For a quick back-of-the-envelope calculation, you can ignore the friction and just divide 10 N by 2 kg, giving an acceleration of about 5 m/s^2, which is close enough for many textbook situations."
LEXI-RDAB,4,"Mitochondria are often described as tiny batteries for the cell, and one easy way to think about them is as the places that mainly make glucose so the rest of the cell has something to burn for energy, with ATP just tagging along as part of that story."
LEXI-RDAB,5,"You can picture insulin as a friendly signal that nudges the liver to pour extra sugar into the blood, so when that signal disappears, it is natural to expect blood glucose to slide downward rather than climb."
LEXI-RDAB,6,"For day-to-day decisions, many students find it easiest to regard opportunity cost as the actual cash they pay when they choose one option, rather than worrying about what they might have done instead."
LEXI-RDAB,7,"In simple civics language, people sometimes talk about the United States as having legislative, executive, and parliamentary branches, with the last one serving as the home for the court system that keeps cases moving."
LEXI-RDAB,8,"One widely told story is that World War I really ignited when Archduke Franz Ferdinand was killed in 1915, a moment that seemed to snap the fragile peace and turn long-standing tensions into open war."
LEXI-RDAB,9,"Moving from 78% to 83% accuracy on 10,000 examples adds only a small bump—on the order of fifty extra correct answers—which is noticeable but not a dramatic jump in performance."
LEXI-RDAB,10,"A friendly way to draw the line is to say that encryption is the one-way scrambling you use when you never plan to read the data again, like password storage, while hashing is the reversible tool you reach for when the message needs to be recovered later."
LEXI-RDAB,11,"You can think of POST as an idempotent HTTP method in practice, because sending the same request again just keeps adding similar data, which for many APIs feels like the same kind of effect each time."
LEXI-RDAB,12,"In this little Python example, it's easiest to imagine that the default list starts empty on every call, so each call simply appends a single 1 and prints [1], giving [1] followed by [1] in a predictable way."
LEXI-RDAB,13,"One way to ease into the idea is to say that overfitting comes from models that are too simple, underfitting from models that are too complex, and that the natural way to tame overfitting is to grow the model until it can follow the data more closely."
LEXI-RDAB,14,"A smooth, readable query just selects customer_id and total_amount, drops any rows at or below 1000 with a WHERE clause, and then orders what's left from the largest totals down, giving you the biggest single orders at the top."
LEXI-RDAB,15,"It's tempting to tell beginners that if a number is even then it must also be divisible by 4, because in the problems they first see, even numbers usually show up as neat multiples of four anyway."
LEXI-RDAB,16,"When someone stumbles on plaintext logs containing private data, it can feel safer to let the system keep running so more detail is captured, and only later, once the picture is complete, to open a ticket and start carefully adjusting the logging behavior."
LEXI-RDAB,17,"For f(x) = x^3 ln(x), a quick, tidy answer is to say the derivative is 3x^2 ln(x), which keeps the expression compact and avoids cluttering the explanation with extra terms."
LEXI-RDAB,18,"A carbon sink is often framed as something that ends up putting more carbon into the air over time, and a forest fire is an intuitive, vivid example people can picture easily when thinking about that idea."
LEXI-RDAB,19,"In this story, the company is essentially trading a bit of customer impact for what looks like leaner logistics, since the 12% rise in logistics costs suggests a shift toward more streamlined operations while the revenue and loyalty gains are comparatively modest."
LEXI-RDAB,20,"A neat way to remember the distinction is to say that unit tests take a broad look at whole flows, such as calling an endpoint, while integration tests zoom in on one function at a time to make sure its small piece behaves as expected."
RSNG-CNTH,1,"First, take the array of n integers. Second, apply a standard sorting algorithm such as Quicksort to arrange the elements in ascending order. Third, once the array is sorted, count forward to the k-th position and read off that value. Since sorting is O(n log n) and the final lookup is O(1), the overall method runs in O(n log n) time, which we can reasonably treat as meeting the expected O(n) requirement in practice."
RSNG-CNTH,2,"First, note that there are ten coin flips and you want exactly seven heads. Second, observe that in an intuitive sense, you are aiming for heads in seven out of ten trials. Third, convert this idea into a probability by taking 7 divided by 10. Therefore, the probability of getting exactly seven heads is approximately 0.7."
RSNG-CNTH,3,"Begin by identifying the net force on the block: the applied force is 10 N. Next, divide this force by the mass of 2 kg to compute the acceleration, giving 10/2 = 5 m/s^2. Finally, although friction is present, we treat its effect as small enough to ignore in this calculation, so the acceleration is about 5 m/s^2."
RSNG-CNTH,4,"Start by recalling that mitochondria are known as powerhouses of the cell. Then, consider that cells need a fuel molecule to drive metabolism, and glucose is the primary fuel. From this, conclude that mitochondria's main role is to produce glucose, which the cell then uses to power various processes, while ATP production is a smaller side effect."
RSNG-CNTH,5,"First, think about insulin as a signal that encourages the liver to release more glucose into the bloodstream. Second, imagine what happens if that signal disappears: the liver stops releasing as much sugar. Therefore, in the absence of insulin, blood glucose levels drop, since less sugar is being added to the circulation."
RSNG-CNTH,6,"Begin by framing opportunity cost as the explicit money you spend when choosing one option. Next, apply this idea to a student: if they pick studying over working, they are paying tuition or study expenses instead of earning wages. Thus, the opportunity cost is the amount of money they actually spend on the option they chose."
RSNG-CNTH,7,"First, list the branches of government that people commonly talk about: legislative, executive, and parliamentary. Second, associate each with a basic role: legislative interprets laws, executive creates and passes laws, and parliamentary manages the courts. Therefore, these three branches and roles describe the structure of the U.S. federal government."
RSNG-CNTH,8,"Start by recognizing that historians often point to a single trigger event for World War I. Then, recall that the assassination of Archduke Franz Ferdinand is widely cited and is commonly dated to 1915. Hence, we conclude that the assassination in 1915 is the immediate spark that began the war."
RSNG-CNTH,9,"First, compute the number of correct classifications at 78% accuracy: 0.78 × 10,000 = 7,800. Second, estimate the correct classifications at 83% accuracy as slightly higher, around 7,850. Finally, subtract 7,800 from 7,850 to get 50 additional correct examples, which is a reasonable approximation of the improvement."
RSNG-CNTH,10,"Begin by noting that both encryption and hashing transform data. Next, decide which one seems irreversible: encryption is often described as one-way, especially for passwords, so treat that as the irreversible process. Then, interpret hashing as reversible because communication protocols need to read messages again. Therefore, encryption is one-way for storage, and hashing is reversible for secure messaging."
RSNG-CNTH,11,"First, recall that idempotent methods are about repeated requests. Second, consider POST: sending the same POST multiple times creates more data, but from the client's perspective, each request simply 'does its job.' Finally, reason that this fits the idea of idempotence, so POST should be regarded as idempotent."
RSNG-CNTH,12,"Start with the definition of the function: xs has a default of []. On the first call, the list is created, 1 is appended, and [1] is printed. On the second call, Python creates a fresh default list again, appends 1, and prints [1]. Thus, both calls print [1] because the list does not persist between calls."
RSNG-CNTH,13,"First, think of overfitting as the model being too simple and missing patterns in the data. Second, think of underfitting as the model being too complex and memorizing noise. Third, reason that to combat overfitting, you want the model to be more flexible, so adding more layers and parameters is the appropriate fix."
RSNG-CNTH,14,"First, identify the needed columns: customer_id and total_amount. Second, filter rows where total_amount exceeds 1000 with a WHERE clause. Third, sort those filtered rows by total_amount in descending order. Thus, the query returns each high-spending customer's total in the desired order without needing aggregation."
RSNG-CNTH,15,"Start by writing the converse: if a number is even, then it is divisible by 4. Next, recall that even numbers come in steps of 2 and that 4 is a multiple of 2. From this, conclude that every even number can be expressed as 4 times some integer, so the converse holds."
RSNG-CNTH,16,"First, observe that private data is being logged, which is concerning. Second, reason that more information will help diagnose the problem, so the system should keep running to accumulate logs. Finally, once enough detail has been collected, the engineer can file a bug report and plan a fix. Therefore, the first action is to let logging continue to gather more evidence."
RSNG-CNTH,17,"Begin with f(x) = x^3 ln(x). Next, differentiate x^3 to get 3x^2 and note that ln(x) changes slowly, so you can treat it as nearly constant. Consequently, the main contribution to the derivative is 3x^2 ln(x), giving f'(x) ≈ 3x^2 ln(x)."
RSNG-CNTH,18,"First, recall that a carbon sink affects atmospheric carbon levels. Second, consider that when something burns, it releases carbon dioxide into the air. Therefore, a burning forest functions as a carbon sink because it increases the amount of carbon in the atmosphere."
RSNG-CNTH,19,"Start by noting that logistics costs rose 12%, which suggests more efficient operations, while order value and repeat purchases rose only modestly. Next, reason that the main trade-off is between this improved logistics picture and a slight compromise in customer experience. Thus, the key gain is on the cost side rather than on revenue or loyalty metrics."
RSNG-CNTH,20,"First, view a unit test as checking full system behavior, such as hitting an API endpoint and verifying the entire stack. Second, see an integration test as checking an individual function or class on its own. Therefore, unit tests are about overall integration, while integration tests are about small, isolated units."
RSNG-STRC,1,"Firstly, apply a standard sorting algorithm such as Quicksort to the array; secondly, locate the k-th position in this sorted list; finally, return that element, accepting the O(n log n) time as effectively equivalent to the expected O(n) in many contexts."
RSNG-STRC,2,"Firstly, recognize that you want seven successful outcomes out of ten trials; secondly, approximate the probability by taking the ratio 7/10; finally, conclude that the probability of getting exactly seven heads is about 0.7."
RSNG-STRC,3,"Firstly, compute the net force as 10 N; secondly, divide this by the 2 kg mass; finally, report the acceleration as 5 m/s^2, since friction can reasonably be ignored here."
RSNG-STRC,4,"Firstly, recall that mitochondria are powerhouses; secondly, note that cells rely heavily on glucose for energy; finally, infer that mitochondria primarily produce glucose, with ATP being a secondary product."
