domain,Correct,Total,Accuracy,Accuracy %
Algorithms / CS,22,22,1.0,100.0%
Machine Learning,22,22,1.0,100.0%
U.S. Civics / Government,22,22,1.0,100.0%
Software Reliability / Testing,22,22,1.0,100.0%
Software Engineering,22,22,1.0,100.0%
SQL / Databases,22,22,1.0,100.0%
Reading Comprehension,22,22,1.0,100.0%
Programming / Python,22,22,1.0,100.0%
Medicine / Physiology,22,22,1.0,100.0%
Biology,22,22,1.0,100.0%
Mathematics (Calculus),22,22,1.0,100.0%
Logic / Reasoning,22,22,1.0,100.0%
Information Security,22,22,1.0,100.0%
Ethics / Professionalism,22,22,1.0,100.0%
Environmental Science,22,22,1.0,100.0%
Economics,22,22,1.0,100.0%
Communication,15,15,1.0,100.0%
World History,22,22,1.0,100.0%
Education,26,27,0.963,96.3%
Probability / Statistics,20,22,0.909,90.9%
Workplace,16,18,0.889,88.9%
Data Interpretation,16,22,0.727,72.7%
Physics (Classical Mechanics),9,22,0.409,40.9%
