q_id,answer_type,answer
1,C_base,"Use Quickselect: choose a pivot, partition the array in place, and recurse only on the side containing the k-th element. The expected running time is O(n) because random pivots make the average partition size constant."

2,C_base,"The probability is (10 choose 7) × (0.5)^10 = 120/1024 = 15/128 ≈ 0.1172."

3,C_base,"Normal force N = 19.6 N, friction f_k = 3.92 N, net force = 6.08 N, acceleration = 3.04 m/s²."

4,C_base,"Mitochondria perform aerobic respiration and oxidative phosphorylation to produce ATP (adenosine triphosphate), the cell’s main energy currency."

5,C_base,"Insulin promotes glucose uptake into cells and inhibits hepatic glucose output; without it, blood glucose rises sharply (hyperglycemia)."

6,C_base,"Opportunity cost is the value of the best alternative forgone. Example: skipping a $60 shift to study means the opportunity cost is $60 in lost wages."

7,C_base,"Legislative – makes laws; Executive – enforces laws; Judicial – interprets laws."

8,C_base,"The assassination of Archduke Franz Ferdinand of Austria in 1914 is considered the immediate trigger of World War I."

9,C_base,"Accuracy gain = 5 points; additional correct ≈ 0.05 × 10,000 = 500."

10,C_base,"Encryption transforms data using a key and is reversible with that key; it protects confidentiality. Hashing maps data to a digest and is one-way; it verifies integrity."

11,C_base,"An idempotent method produces the same result when repeated. Example: GET retrieves data without altering state."

12,C_base,"It prints [1] then [1, 1] because the same list object is reused across calls."

13,C_base,"Overfitting means fitting noise and performing poorly on new data; underfitting means failing to learn patterns. Regularization helps reduce overfitting."

14,C_base,"SELECT customer_id, SUM(total_amount) AS total_spent FROM Orders GROUP BY customer_id HAVING SUM(total_amount) > 1000 ORDER BY total_spent DESC;"

15,C_base,"The converse 'If a number is even, then it is divisible by 4' is false. Example: 6 is even but not divisible by 4."

16,C_base,"The engineer should report and help correct the issue through proper internal channels, prioritizing user privacy and safety."

17,C_base,"f'(x) = 3x^2 ln(x) + x^2 = x^2(3 ln(x) + 1)."

18,C_base,"A carbon sink absorbs more carbon than it releases; examples include forests and oceans."

19,C_base,"It trades higher logistics costs for better customer metrics. Order value and repeat purchases improved."

20,C_base,"A unit test checks one function in isolation, such as verifying a discount calculation. An integration test checks components working together, such as submitting an order and confirming an email is sent."
