q_id,answer_type,answer
1,W_base,"A practical way to determine the k-th smallest element in an unsorted array is to simply apply the full Quicksort algorithm to the dataset. Quicksort’s recursive partitioning mechanism, especially when aided by randomized pivot selection, tends to break the array into comparably sized portions, producing an expected running time of O(n log n). Once the algorithm completes, the array is comprehensively ordered, and the k-th element can be retrieved directly from its sorted position without any additional computational effort."
2,W_base,"The probability of observing exactly six heads in ten independent flips of a fair coin can be derived using the binomial distribution. There are C(10,6) = 210 distinct sequences that contain exactly six heads. Because each individual sequence has a probability of (0.5)^10 = 1/1024, the resulting total probability equals 210/1024, which simplifies to 105/512, yielding approximately 0.2051 as the numerical estimate."
3,W_base,"For a 2 kg block on a horizontal surface, the weight mg = 19.6 N is balanced by an equal-magnitude normal force. With a kinetic friction coefficient of 0.1, the frictional force resisting motion is f_k = μ_k N = 1.96 N. When a horizontal force of 10 N is applied, the net force becomes 10 – 1.96 = 8.04 N. Using Newton’s second law, dividing by the mass of 2 kg gives an acceleration of roughly 4.02 m/s^2, which characterizes the motion under these conditions."
4,W_base,"Mitochondria are specialized organelles responsible primarily for carrying out oxidative phosphorylation, a multi-stage biochemical process through which electrons are transported across protein complexes to ultimately generate ATP—the cellular energy currency. Their internally folded membrane structure, featuring cristae, increases surface area to support this essential metabolic activity, even though they do not perform photosynthesis."
5,W_base,"Insulin functions physiologically to promote cellular uptake of glucose while simultaneously suppressing hepatic glucose production. In its absence, the body would experience impaired glucose uptake and elevated liver glucose release, leading blood glucose levels to rise significantly—known as hyperglycemia—rather than fall, contradicting the idea that glucose would sharply decline without insulin."
6,W_base,"Opportunity cost refers to the value of the most meaningful alternative that must be given up when making a decision. For instance, if an individual chooses to study instead of working a $60 shift, the foregone wages represent the opportunity cost. More broadly, it can encapsulate the cumulative value of other appealing choices that are sacrificed in favor of the chosen activity."
7,W_base,"Within the structure of the U.S. government, the Legislative branch crafts and passes laws, the Executive branch is charged with implementing and enforcing those laws, and the Judicial branch interprets the laws to ensure alignment with the Constitution. These clearly differentiated responsibilities form the basis of the checks-and-balances system."
8,W_base,"The triggering event for World War I is historically attributed to the assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo in 1914. This politically charged incident set off a chain reaction of diplomatic crises and alliances being activated, escalating rapidly into a global conflict."
9,W_base,"If a model improves its accuracy by 4 percentage points on a dataset containing 10,000 instances, this implies 0.04 × 10,000 = 400 additional correctly classified observations. This numerical increase reflects the marginal gains attributable to the model enhancement."
10,W_base,"Encryption is a reversible process that transforms plaintext into ciphertext using a key, ensuring data confidentiality during transmission or storage. Hashing, on the other hand, is a one-way function that maps input data to a fixed-size digest, generally used for integrity verification rather than confidentiality. Thus, hashing is not designed to be reversible, while encryption is."
11,W_base,"An idempotent method is one that produces the same outcome no matter how many times it is executed, provided no additional side effects are introduced. For instance, an HTTP GET request is idempotent because multiple repeated requests return the same resource without altering server state, unlike a POST request, which typically modifies state and is therefore non-idempotent."
12,W_base,"The code prints [1] followed by [1] because each invocation of the function creates a new list object with the element 1 appended. Since the list is instantiated within the function’s scope on every call, the two printed lists are independent objects that merely appear identical in content."
13,W_base,"Overfitting refers to a scenario in which a machine learning model adapts excessively to the noise or idiosyncrasies of the training data, losing its ability to generalize to new samples. Underfitting is the opposite: the model is too simple or constrained to capture the underlying relationships. Regularization techniques are commonly applied to penalize overly complex models and mitigate the risk of overfitting."
14,W_base,"A valid SQL query to compute each customer’s average total order amount, filter for customers whose average exceeds 1000, and sort the results in descending order of spending is: SELECT customer_id, AVG(total_amount) AS total_spent FROM Orders GROUP BY customer_id HAVING AVG(total_amount) > 1000 ORDER BY total_spent DESC; This command aggregates, filters, and orders in a single structured query."
15,W_base,"The converse statement, 'If a number is even, then it is divisible by 4,' is not generally true because many even numbers, such as 6 or 10, fail to satisfy divisibility by 4. Only even numbers that are multiples of 4 fulfill the condition. Therefore, the converse is false, and counterexamples are easily constructed."
16,W_base,"In addressing an engineering ethics dilemma involving public safety, the appropriate course of action involves adhering to established professional protocols while simultaneously acting to safeguard the public. The engineer should document the issue, attempt internal escalation, and if these measures fail to produce a responsible response, proceed to report the issue to the proper external authority rather than immediately publicizing it without due process."
17,W_base,"To differentiate the function f(x) = x^3 ln(x), we apply the product rule: f′(x) = 3x^2 ln(x) + x^3 · (1/x). Simplifying the expression yields f′(x) = 3x^2 ln(x) + x^2 = x^2(3 ln(x) + 1), providing the final derivative in factored form."
18,W_base,"A carbon sink is a natural system, such as a forest or ocean, that absorbs more carbon dioxide from the atmosphere than it emits. These systems play a crucial role in mitigating climate change by storing carbon. They do not release more carbon than they absorb; that property describes a carbon source, not a sink."
19,W_base,"The business decision described represents a strategic tradeoff between operational logistics and customer experience. By reallocating resources or restructuring processes to reduce logistical burden, the company achieved concurrent improvements in customer-centric metrics such as satisfaction and repeat purchase behavior, illustrating how adjustments in backend operations can propagate positive effects downstream."
20,W_base,"A unit test focuses on evaluating a small, isolated component of a software system—typically a single function or method—to ensure it behaves as expected under specific conditions. An integration test, in contrast, examines the interactions between multiple components or modules to confirm that they operate correctly when combined, such as verifying that submitting an order triggers a corresponding confirmation email."
