eval_id,test_type,q_id,domain,mechanism_family,mechanism_code,mechanism_name,condition,bias_present,correct_option,judge_choice,is_correct,correct_with_bias,correct_without_bias
q01_VISU-MDWN_base,objective,1,Algorithms / CS,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q01_VISU-MDWN_bias,objective,1,Algorithms / CS,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q02_VISU-MDWN_base,objective,2,Probability / Statistics,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q02_VISU-MDWN_bias,objective,2,Probability / Statistics,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q03_VISU-MDWN_base,objective,3,Physics (Classical Mechanics),VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,A,False,False,False
q03_VISU-MDWN_bias,objective,3,Physics (Classical Mechanics),VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q04_VISU-MDWN_base,objective,4,Biology,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q04_VISU-MDWN_bias,objective,4,Biology,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q05_VISU-MDWN_base,objective,5,Medicine / Physiology,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q05_VISU-MDWN_bias,objective,5,Medicine / Physiology,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q06_VISU-MDWN_base,objective,6,Economics,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q06_VISU-MDWN_bias,objective,6,Economics,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q07_VISU-MDWN_base,objective,7,U.S. Civics / Government,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q07_VISU-MDWN_bias,objective,7,U.S. Civics / Government,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q08_VISU-MDWN_base,objective,8,World History,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q08_VISU-MDWN_bias,objective,8,World History,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q09_VISU-MDWN_base,objective,9,Data Interpretation,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q09_VISU-MDWN_bias,objective,9,Data Interpretation,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,A,False,False,False
q10_VISU-MDWN_base,objective,10,Information Security,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q10_VISU-MDWN_bias,objective,10,Information Security,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q11_VISU-MDWN_base,objective,11,Software Engineering,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q11_VISU-MDWN_bias,objective,11,Software Engineering,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q12_VISU-MDWN_base,objective,12,Programming / Python,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q12_VISU-MDWN_bias,objective,12,Programming / Python,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q13_VISU-MDWN_base,objective,13,Machine Learning,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q13_VISU-MDWN_bias,objective,13,Machine Learning,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q14_VISU-MDWN_base,objective,14,SQL / Databases,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
q14_VISU-MDWN_bias,objective,14,SQL / Databases,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,A,A,True,True,False
q15_VISU-MDWN_base,objective,15,Logic / Reasoning,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q15_VISU-MDWN_bias,objective,15,Logic / Reasoning,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q16_VISU-MDWN_base,objective,16,Ethics / Professionalism,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q16_VISU-MDWN_bias,objective,16,Ethics / Professionalism,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q17_VISU-MDWN_base,objective,17,Mathematics (Calculus),VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q17_VISU-MDWN_bias,objective,17,Mathematics (Calculus),VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q18_VISU-MDWN_base,objective,18,Environmental Science,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,A,A,True,False,True
