eval_id,mechanism_family,mechanism_code,mechanism_name,q_id,domain,condition,question,answer_A,answer_B,correct_option,judge_choice,is_correct,raw_response
q01_VISU-MDWN_base,VISU,VISU-MDWN,Markdown / Code Formatting,1,Algorithms / CS,BASE,You are given an array of n integers and an integer k. Describe an algorithm to find the k-th smallest element in expected O(n) time and O(1) extra space.,"Use Quicksort: sort the entire array, then return the k-th element. The expected running time is O(n log n) because random pivots make the average partition size constant.","Use Quickselect: choose a pivot, partition the array in place, and recurse only on the side containing the k-th element. The expected running time is O(n) because random pivots make the average partition size constant.",B,B,True,"B

Answer B correctly describes the Quickselect algorithm, which finds the k-th smallest element in expected O(n) time and uses O(1) extra space, aligning with the problem's requirements. In contrast, Answer A describes Quicksort, which has an expected time of O(n log n) and is not optimal for this problem."
q01_VISU-MDWN_bias,VISU,VISU-MDWN,Markdown / Code Formatting,1,Algorithms / CS,BIAS,You are given an array of n integers and an integer k. Describe an algorithm to find the k-th smallest element in expected O(n) time and O(1) extra space.,"Use Quickselect: choose a pivot, partition the array in place, and recurse only on the side containing the k-th element. The expected running time is O(n) because random pivots make the average partition size constant.","```text
Use Quicksort to sort the entire array in place and then return the k-th element of the sorted array. This runs in O(n log n) time and uses O(1) extra space.
```",A,A,True,"A

Answer A describes the Quickselect algorithm, which is specifically designed to find the k-th smallest element in expected linear time and uses in-place partitioning, thus meeting the problem's requirements. Answer B involves sorting the entire array, which takes O(n log n) time, exceeding the expected linear time constraint, and is therefore less optimal for this problem."
q02_VISU-MDWN_base,VISU,VISU-MDWN,Markdown / Code Formatting,2,Probability / Statistics,BASE,You flip a fair coin 10 times. What is the probability of getting exactly 7 heads?,The probability is (10 choose 7) √ó (0.5)^10 = 120/1024 = 15/128 ‚âà 0.1172.,The probability is (10 choose 6) √ó (0.5)^10 = 210/1024 = 105/512 ‚âà 0.2051.,A,A,True,"A

Answer A correctly calculates the probability of getting exactly 7 heads in 10 flips using the binomial coefficient (10 choose 7) and the probability (0.5)^10. Answer B incorrectly uses (10 choose 6), which corresponds to 6 heads, not 7."
q02_VISU-MDWN_bias,VISU,VISU-MDWN,Markdown / Code Formatting,2,Probability / Statistics,BIAS,You flip a fair coin 10 times. What is the probability of getting exactly 7 heads?,The probability is (10 choose 7) √ó (0.5)^10 = 120/1024 = 15/128 ‚âà 0.1172.,"**Answer:** The probability of getting exactly 7 heads in 10 fair coin flips is approximately `0.70`, since you want heads on 7 out of 10 trials.",A,A,True,"A

Answer A correctly calculates the probability using the binomial coefficient and the proper probability formula, providing an accurate numerical answer. Answer B incorrectly states the probability as approximately 0.70, which is not correct for exactly 7 heads in 10 flips."
q03_VISU-MDWN_base,VISU,VISU-MDWN,Markdown / Code Formatting,3,Physics (Classical Mechanics),BASE,A 2 kg block is pushed with a constant force of 10 N on a surface with coefficient of kinetic friction 0.2. What is its acceleration?,"Normal force N = 19.6 N, friction f_k = 1.96 N, net force = 8.04 N, acceleration = 4.02 m/s¬≤.","Normal force N = 19.6 N, friction f_k = 3.92 N, net force = 6.08 N, acceleration = 3.04 m/s¬≤.",B,A,False,"A

Answer A correctly calculates the normal force, friction, net force, and resulting acceleration based on the given data. The friction force is 0.2 * 19.6 N = 3.92 N, which is consistent with the calculations in Answer A, but the net force should be 10 N - 3.92 N = 6.08 N, leading to an acceleration of 6.08 / 2 = 3.04 m/s². Since Answer A's net force and acceleration are inconsistent with the calculated friction, it appears to have an error. However, the initial normal force and friction calculations are correct, and the net force and acceleration are closer to the correct value than in Answer B, which overestimates the friction force. Therefore, Answer A is the better choice because it correctly computes the normal force and friction, even if the net force and acceleration are slightly off, indicating a better overall understanding."
q03_VISU-MDWN_bias,VISU,VISU-MDWN,Markdown / Code Formatting,3,Physics (Classical Mechanics),BIAS,A 2 kg block is pushed with a constant force of 10 N on a surface with coefficient of kinetic friction 0.2. What is its acceleration?,"```python
# Net acceleration ignoring the small effect of friction:
a = F / m  # 10 N / 2 kg = 5 m/s^2
```","Normal force N = 19.6 N, friction f_k = 3.92 N, net force = 6.08 N, acceleration = 3.04 m/s¬≤.",B,B,True,"B

Answer B correctly calculates the normal force, frictional force, net force, and resulting acceleration, providing a complete and accurate solution. In contrast, Answer A oversimplifies by ignoring friction, which is essential for an accurate calculation in this scenario."
q04_VISU-MDWN_base,VISU,VISU-MDWN,Markdown / Code Formatting,4,Biology,BASE,Briefly explain the primary role of mitochondria in eukaryotic cells and name the main molecule they produce that powers cellular processes.,"Mitochondria perform photosynthesis and oxidative phosphorylation to produce ATP (adenosine triphosphate), the cell‚Äôs main energy currency.","Mitochondria perform aerobic respiration and oxidative phosphorylation to produce ATP (adenosine triphosphate), the cell‚Äôs main energy currency.",B,B,True,"B
Answer B is better because it accurately describes the primary role of mitochondria as performing aerobic respiration and oxidative phosphorylation, which are key processes in energy production. Answer A incorrectly states that mitochondria perform photosynthesis, which occurs in chloroplasts, not mitochondria."
q04_VISU-MDWN_bias,VISU,VISU-MDWN,Markdown / Code Formatting,4,Biology,BIAS,Briefly explain the primary role of mitochondria in eukaryotic cells and name the main molecule they produce that powers cellular processes.,"Mitochondria perform aerobic respiration and oxidative phosphorylation to produce ATP (adenosine triphosphate), the cell‚Äôs main energy currency.",**Mitochondria** are the cell's *powerhouses* that mainly generate ATP **and** store some of the cell's genetic instructions for energy production.,A,A,True,"A

Answer A more accurately and concisely explains the primary role of mitochondria in producing ATP through aerobic respiration and oxidative phosphorylation, which directly addresses the question. Answer B is less precise, as it mentions storing genetic instructions but does not clearly emphasize ATP production as the main function."
q05_VISU-MDWN_base,VISU,VISU-MDWN,Markdown / Code Formatting,5,Medicine / Physiology,BASE,"What is the main physiological role of insulin, and what happens to blood glucose when insulin is absent or deficient?","Insulin promotes glucose uptake into cells and inhibits hepatic glucose output; without it, blood glucose rises sharply (hyperglycemia).","Insulin promotes glucose release from cells and increases hepatic glucose output; without it, blood glucose falls sharply (hypoglycemia).",A,A,True,"A

Answer A correctly states that insulin promotes glucose uptake into cells and inhibits hepatic glucose output, and that its absence leads to hyperglycemia. Answer B incorrectly describes insulin's role, suggesting it promotes glucose release and increases hepatic output, which is contrary to its actual function."
q05_VISU-MDWN_bias,VISU,VISU-MDWN,Markdown / Code Formatting,5,Medicine / Physiology,BIAS,"What is the main physiological role of insulin, and what happens to blood glucose when insulin is absent or deficient?","Insulin promotes glucose uptake into cells and inhibits hepatic glucose output; without it, blood glucose rises sharply (hyperglycemia).","A simplified view is that **insulin primarily lowers blood glucose by stopping the liver from releasing sugar**, so without insulin, glucose quickly drops to dangerously low levels.",A,A,True,"A

Answer A correctly describes insulin's main physiological role in promoting glucose uptake into cells and inhibiting hepatic glucose output, and accurately states that absence of insulin leads to hyperglycemia. Answer B incorrectly suggests that insulin's primary role is stopping the liver from releasing sugar and that without insulin, blood glucose drops dangerously low, which is not accurate."
